contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
W688674,-0.5862559,1.1729872,0.81734776,-0.073261194,0.013120889,1.1669096,-0.36564392,0.6203686,0.22655368,0.0012341014,0.5883211,-0.47369233,-0.6163422,0.14821294,-0.052760117,0.09611795,0.095926605,-0.33772215,0.2856011,0.5857725,-0.16372465,0.53199446,0.13740273,0.45028675,0.060532354,0.061136607,0.047546044,-0.2700724,-0.04415542,0.27028722
W689088,-0.5862559,1.1729872,0.81734776,-0.073261194,0.013120889,1.1669096,-0.36564392,0.6203686,0.22655368,0.0012341014,0.5883211,-0.47369233,-0.6163422,0.14821294,-0.052760117,0.09611795,0.095926605,-0.33772215,0.2856011,0.5857725,-0.16372465,0.53199446,0.13740273,0.45028675,0.060532354,0.061136607,0.047546044,-0.2700724,-0.04415542,0.27028722
WMC624739,0.4951406,0.5415825,-0.0059416434,0.02310234,-0.37728703,0.9715124,0.07272486,0.38895938,-0.22289442,-0.51969993,-0.37784994,-0.27078113,-0.7435005,0.26106432,0.28635472,0.2184061,0.42504108,-0.5585148,1.1082318,1.1774917,0.25270241,0.40348804,-0.5870821,0.07398492,0.33270416,0.3897734,0.25546154,-0.07407835,0.03635191,0.18032427
WMC624858,0.4951406,0.5415825,-0.0059416434,0.02310234,-0.37728703,0.9715124,0.07272486,0.38895938,-0.22289442,-0.51969993,-0.37784994,-0.27078113,-0.7435005,0.26106432,0.28635472,0.2184061,0.42504108,-0.5585148,1.1082318,1.1774917,0.25270241,0.40348804,-0.5870821,0.07398492,0.33270416,0.3897734,0.25546154,-0.07407835,0.03635191,0.18032427
WMC0035325,-0.9102088,-0.17826575,0.16074626,0.41284502,-0.75495803,0.21611421,-0.20936705,0.18070821,0.5081303,-0.42735463,0.010000397,0.13645533,-0.21900676,-0.56556165,0.28213218,-0.0040172637,0.33844125,0.009629851,1.2667911,-0.035943273,-0.08856161,1.708696,-0.6120734,0.62469804,0.33755228,-0.0010242262,0.3997663,0.3134833,0.20566219,0.32671067
WMC0035186,-0.9102088,-0.17826575,0.16074626,0.41284502,-0.75495803,0.21611421,-0.20936705,0.18070821,0.5081303,-0.42735463,0.010000397,0.13645533,-0.21900676,-0.56556165,0.28213218,-0.0040172637,0.33844125,0.009629851,1.2667911,-0.035943273,-0.08856161,1.708696,-0.6120734,0.62469804,0.33755228,-0.0010242262,0.3997663,0.3134833,0.20566219,0.32671067
W840569,0.4106682,-0.084024474,0.74833167,0.14778149,-0.19408885,0.06798783,0.44620663,0.27271575,-0.3926725,-0.71952546,-0.3566277,-0.45939928,-0.7903182,0.12687728,0.61415154,0.076179974,0.18807247,-0.005015187,1.9159544,0.099445246,-0.09054561,1.0966061,0.213075,0.24253218,0.076119915,0.42524394,0.35552776,-0.42782107,0.07373565,0.20711476
W842195,0.4106682,-0.084024474,0.74833167,0.14778149,-0.19408885,0.06798783,0.44620663,0.27271575,-0.3926725,-0.71952546,-0.3566277,-0.45939928,-0.7903182,0.12687728,0.61415154,0.076179974,0.18807247,-0.005015187,1.9159544,0.099445246,-0.09054561,1.0966061,0.213075,0.24253218,0.076119915,0.42524394,0.35552776,-0.42782107,0.07373565,0.20711476
W842496,0.4106682,-0.084024474,0.74833167,0.14778149,-0.19408885,0.06798783,0.44620663,0.27271575,-0.3926725,-0.71952546,-0.3566277,-0.45939928,-0.7903182,0.12687728,0.61415154,0.076179974,0.18807247,-0.005015187,1.9159544,0.099445246,-0.09054561,1.0966061,0.213075,0.24253218,0.076119915,0.42524394,0.35552776,-0.42782107,0.07373565,0.20711476
W842369,0.4106682,-0.084024474,0.74833167,0.14778149,-0.19408885,0.06798783,0.44620663,0.27271575,-0.3926725,-0.71952546,-0.3566277,-0.45939928,-0.7903182,0.12687728,0.61415154,0.076179974,0.18807247,-0.005015187,1.9159544,0.099445246,-0.09054561,1.0966061,0.213075,0.24253218,0.076119915,0.42524394,0.35552776,-0.42782107,0.07373565,0.20711476
WMC289748,0.21724007,0.8721916,0.41670623,0.02604607,-0.1667836,-0.759067,0.15992472,-0.75059795,0.32751566,-0.11662723,0.00027988246,0.028424492,-0.019112075,0.14635473,0.33532682,0.02020865,-0.22523522,-0.22706194,0.5270231,-0.6491169,0.09978802,0.24679692,0.5815045,0.16323233,0.2701238,-0.013822338,-0.12405595,0.13562804,0.12142632,0.097601496
